model,lead,steepness_weight,continuity_weight,bounds_weight,mape_mean,mape_std,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
pinn_wind,6,0.02,0.0,0.01,5.922140175981435,0.18578223978167477,0.12839061401544077,0.003762867785786988,0.20268198977267118,0.0057587186610476935,-0.0286625085498697,0.019345296793360264
pinn_wind,6,0.1,0.02,0.01,5.929632450100767,0.1439521098744886,0.1286832411923716,0.003397027723582496,0.2035595260305007,0.004707196716949826,-0.02758930512974339,0.01673839455179227
pinn_wind,6,0.05,0.01,0.01,5.938268403792131,0.18584459716763277,0.128583213070067,0.003508879177569286,0.20252430907191074,0.003966626236942839,-0.021100368639153818,0.020118826395752437
multi_wind,6,,,,5.9459059513082035,0.15483272651188826,0.1287117824599307,0.003638719900414482,0.20242056857444785,0.005296878297055478,-0.021003407544346268,0.022317991674304136
pinn_wind,6,0.2,0.05,0.01,5.992961414288288,0.14888599850521225,0.1295801717107014,0.0036871201475654402,0.20324037032454317,0.006101029838033595,-0.0227787003081332,0.020353775980127206
hs_only,6,,,,6.859227346134993,0.15419211876215735,0.14782382956435605,0.0026927614628646655,0.2311300849342989,0.0023547776565330824,-0.03010894433465055,0.017800607526414238
persistence,6,,,,9.775866846839062,,0.2150461156201619,,0.30632147685461913,,-0.0011918991804122925,
pinn_wind,12,0.02,0.0,0.01,11.7441330434627,0.49805614423169997,0.2605528011437385,0.011195305078836131,0.3916776602343564,0.016659953269113726,-0.07221229069976395,0.03846710502415102
pinn_wind,12,0.2,0.05,0.01,11.763308865327904,0.37737769947329364,0.26101293451683494,0.006551991842400654,0.3941517790510967,0.010512497134346002,-0.06950298871404381,0.044215420820842066
pinn_wind,12,0.05,0.01,0.01,11.791356840065864,0.3562263802606986,0.2611225099653326,0.006489773644526096,0.3913969873180302,0.011518735801792086,-0.06700850981538013,0.041863991432767936
pinn_wind,12,0.1,0.02,0.01,11.842693744040808,0.36018264657599036,0.2626695316324952,0.011162577967361599,0.3949247921322017,0.01775155585616334,-0.06833775254987902,0.050436180275622494
multi_wind,12,,,,11.937893175255585,0.45863636793159906,0.26416521022717154,0.008483999155785425,0.39628428926708487,0.016746185357535383,-0.06439910349986887,0.05185072555428752
hs_only,12,,,,13.695172201636506,0.3605656170132258,0.3017519465377254,0.005020248811446704,0.449694493808998,0.0077528700951625396,-0.07679183181896006,0.04620242551109539
persistence,12,,,,16.38020465963688,,0.36631587339985755,,0.5190785622791609,,-0.0008364268528517856,
pinn_wind,18,0.2,0.05,0.01,15.293062114127219,0.25648061984394654,0.3487254589315384,0.0058674681452506195,0.528686942408407,0.01245725188294236,-0.12144324733044512,0.042689818729235836
pinn_wind,18,0.1,0.02,0.01,15.369725016661269,0.38061811807780876,0.3504598183337079,0.0038307794118260827,0.5318544075099003,0.007139319946667348,-0.12797607452638687,0.042778781083032895
multi_wind,18,,,,15.371152913606384,0.36647576973904855,0.3501968040421445,0.006886638085574652,0.5343833927239715,0.013457798340645168,-0.1199403591854598,0.04166261476635268
pinn_wind,18,0.05,0.01,0.01,15.373207103830643,0.28019134990337163,0.3501730245287701,0.0038532832760476724,0.5316255620361623,0.006978494243326389,-0.12015502199690828,0.03776800801318023
pinn_wind,18,0.02,0.0,0.01,15.511952808335357,0.32847565480210156,0.35160093033506024,0.006121610085755897,0.5295944771838357,0.015123720839025467,-0.11688396733614706,0.04854354663027535
hs_only,18,,,,16.82327589179735,0.2676847538463912,0.3830972163587488,0.005535263721906993,0.5830476382671282,0.011878849191728687,-0.13392628296729056,0.05075018360566677
persistence,18,,,,19.85120000001092,,0.45201295790492846,,0.6599089733538772,,0.0031424002942218574,
pinn_wind,24,0.1,0.02,0.01,16.50731498094552,0.4295045458421786,0.3895975267053932,0.011367441564430624,0.6207400453647574,0.01768055467624792,-0.17025725059611824,0.04425807169598323
pinn_wind,24,0.05,0.01,0.01,16.50752535090795,0.4071065872568369,0.38868622135731484,0.009491869454272309,0.6196585357676976,0.01170196414693131,-0.1682589360462722,0.05365160061011651
pinn_wind,24,0.2,0.05,0.01,16.538110452231496,0.37743018355243113,0.388331224729297,0.010073362792891293,0.615395130189629,0.019279255357064554,-0.16167042580663518,0.052662934781503024
multi_wind,24,,,,16.61921782130808,0.4089033937532079,0.39166649293194533,0.01158201787259439,0.6189234138780424,0.01978710322206824,-0.1728779014240029,0.052867112539304144
pinn_wind,24,0.02,0.0,0.01,16.667778937761945,0.21915537156290368,0.39155593109066766,0.010176818570672,0.6184293656035175,0.018974242492958576,-0.1698941774746423,0.049841537028102394
hs_only,24,,,,17.80447807038181,0.2786008462662922,0.41054045330452665,0.0031609103110650356,0.6481779352080804,0.004680098827054836,-0.12572780376480472,0.024947980110132266
persistence,24,,,,22.820067964773877,,0.523274635275205,,0.7647115755042168,,0.010249480925580506,
