model,lead,steepness_weight,continuity_weight,bounds_weight,mape_mean,mape_std,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
hs_only,6,,,,12.873476128022812,0.26064567446447484,0.12031854002946807,0.0020735903709680928,0.16354461323961922,0.0038358869813772825,-0.04478038095578711,0.01789880244654414
pinn_wind,6,0.2,0.05,0.01,12.901621504337715,0.1216275645350189,0.12003299503797485,0.0026021431635910868,0.16315859749608858,0.0044772725398483145,-0.0441400410146803,0.018729765863598518
multi_wind,6,,,,12.93567655137609,0.1720723069377166,0.1201485145035931,0.003310642869995206,0.16344117746772582,0.005482450135281468,-0.0428832686516226,0.02015824848417268
pinn_wind,6,0.02,0.0,0.01,12.973759098435602,0.1778998483297628,0.12037893711158665,0.0032081831293127062,0.16353523892311067,0.004862247447956925,-0.0434772154536619,0.015647833642619555
persistence,6,,,,13.026126370882828,,0.11885752665099278,,0.1592189433520274,,-0.00692204305882095,
pinn_wind,6,0.05,0.01,0.01,13.043567796305672,0.19956580284204656,0.12167653196281003,0.0033556673849777915,0.16552355685017456,0.0050954992277959365,-0.0470047638461154,0.0175460117936115
pinn_wind,6,0.1,0.02,0.01,13.06438032523177,0.2449710770103,0.12190323134744038,0.0034783794159232097,0.16591134856337206,0.004685946586435261,-0.0497860252616867,0.014331543150011583
pinn_wind,12,0.05,0.01,0.01,17.791410681853232,0.25895214311773035,0.16786679454468273,0.0038552054628622698,0.2293515831587818,0.004839254018414666,-0.07535216841566307,0.015797236658269785
pinn_wind,12,0.1,0.02,0.01,17.88754412112387,0.29103636407943323,0.1693591994263472,0.005778561094887849,0.23098942422832097,0.007187189369585722,-0.07773400048815435,0.019614653123786453
pinn_wind,12,0.2,0.05,0.01,17.904336714168192,0.3830010054545455,0.16990182820747618,0.006358521998080725,0.23163535890323678,0.0078077410966525375,-0.07966489024780771,0.01971784865426042
multi_wind,12,,,,17.935457386396152,0.3644769133968777,0.16981690989466763,0.005430477888646796,0.23154446850730737,0.006917361276115349,-0.07667621750264399,0.018896262532764385
pinn_wind,12,0.02,0.0,0.01,17.953191034515392,0.41189858482969366,0.17011233198867048,0.005212377419152957,0.23209432443008998,0.006016092144931408,-0.07908595583291464,0.013345415363960679
hs_only,12,,,,18.24740669827384,0.17008064437480153,0.1735551789963758,0.004503710022070099,0.23898253137499656,0.006209778672365253,-0.08904770853057983,0.016542540988778675
persistence,12,,,,19.042323196693502,,0.17212365671832075,,0.22972459087886768,,-0.014435484044013484,
pinn_wind,18,0.1,0.02,0.01,21.060125776181287,0.2379269531704043,0.19960418940391592,0.004642585097326741,0.27477177077682413,0.00725040853481366,-0.10083711235433497,0.020492530608103503
pinn_wind,18,0.05,0.01,0.01,21.087337017719243,0.31956695937610596,0.1996848608857842,0.006679461797228507,0.27460476434456504,0.009069450638993105,-0.10086471830965371,0.028104044362492527
pinn_wind,18,0.2,0.05,0.01,21.114144660883966,0.47990340945251075,0.20078362391921142,0.006797896856783172,0.2758144253363267,0.008385169440971322,-0.10299263276480217,0.02123471746377654
multi_wind,18,,,,21.119536981757868,0.27845310908468035,0.19979611618784807,0.005007624226269221,0.27400907268625485,0.0070118244053989694,-0.09995667612760939,0.022633275108914587
pinn_wind,18,0.02,0.0,0.01,21.17681245547958,0.2984982259338839,0.20089817885509742,0.006438523113452551,0.2755438403521916,0.00925652315521341,-0.1038166718657619,0.02301468994433846
hs_only,18,,,,21.944847307489063,0.27850369822626847,0.2091512485817876,0.005932970852728066,0.28886457364835916,0.007982704473075274,-0.11759943235865844,0.01841703146879765
persistence,18,,,,23.869021491548185,,0.21245967773019628,,0.2790674288688599,,-0.020174731330205035,
pinn_wind,24,0.2,0.05,0.01,23.440729937155147,0.2932787599003488,0.2198182896500634,0.005474537273327939,0.2980041260194465,0.007467655171542837,-0.10901554625841878,0.015711978464276022
pinn_wind,24,0.05,0.01,0.01,23.583303001277418,0.43011692027953136,0.22186464240313858,0.00796083877338846,0.30028431975678715,0.011195608245834808,-0.11451548980448836,0.019965440445279446
pinn_wind,24,0.02,0.0,0.01,23.59274680632235,0.32931384513068584,0.2214105481902758,0.00773131716332039,0.2998469484029924,0.011292907930100373,-0.11114744833239945,0.02604702454639635
pinn_wind,24,0.1,0.02,0.01,23.594947022117648,0.29369708391955734,0.22082194160389643,0.007800232400452172,0.2986170837431795,0.01147637745072458,-0.10827396622588556,0.026735443172398902
multi_wind,24,,,,23.68883982078274,0.3846386609487614,0.22115529508440085,0.00797012666798673,0.2988762838700353,0.01161093740793152,-0.10731265236052774,0.024424006789592268
hs_only,24,,,,24.17547857609552,0.15918985746943717,0.23023526395360627,0.0032466427994063954,0.3170571306449645,0.005034942129307325,-0.13205186364951954,0.012404468142427499
persistence,24,,,,27.882979015692722,,0.24377688116604282,,0.3137333740782836,,-0.02815860229474242,
